1H16_A/PFL1,1R9E_A/PFL2_DhaB_BssA,1HK8_A/RNR_III,1L1L_A/RNR_II_MONOMER,4R1R_A/RNR_1,1XJE_A/RNR_II_Dimer,2HA9_A/RNR_PFL_like_DUF711,20808264/RNR_III,38199336/RNR_III,29897259/RNR_III,46578715/RNR_III,34395948/RNR_III,16799382/RNR_III,17549184/RNR_III,50843575/RNR_III,15597116/RNR_III,42526839/RNR_III,34103723/RNR_III,45047350/RNR_III,31745026/RNR_III,18309899/RNR_III,23466296/RNR_III,19703656/RNR_III,18311489/RNR_III,15679535/RNR_III,25028919/RNR_III,19913820/RNR_III,19887396/RNR_III,14589982/RNR_III,41615134/RNR_III,26553948/RNR_III,32034522/RNR_III,56459299/RNR_III,15643151/RNR_III,122202257/RNR_II_MONOMER,46445745/RNR_II_MONOMER,182676582/RNR_II_MONOMER,66801255/RNR_II_MONOMER,22298870/RNR_II_MONOMER,2F3O_A/PFL2_DhaB_BssA,28379125/PFL2_DhaB_BssA,418519/PFL2_DhaB_BssA,3024375/PFL2_DhaB_BssA,22536514/PFL2_DhaB_BssA,28203085/PFL2_DhaB_BssA,23954275/PFL2_DhaB_BssA,28211126/PFL2_DhaB_BssA,26250357/PFL2_DhaB_BssA,57158548/PFL2_DhaB_BssA,51244468/PFL2_DhaB_BssA,39984089/PFL2_DhaB_BssA,46580677/PFL2_DhaB_BssA,28300939/PFL2_DhaB_BssA,50877916/PFL2_DhaB_BssA,56476471/PFL2_DhaB_BssA,51850061/PFL2_DhaB_BssA,2500058/PFL1,3122593/PFL1,4218500/PFL1,6580769/PFL1,22298533/PFL1,28379671/PFL1,29350146/PFL1,29376172/PFL1,23465524/PFL1,16801097/PFL1,47525779/PFL1,19713713/PFL1,1PEQ_A/RNR_1,4R1R_C/RNR_1,2WGH_A/RNR_1,1ZYZ_A/RNR_1,417657/RNR_1,1350599/RNR_1,1350600/RNR_1,1710384/RNR_1,1710391/RNR_1,3914639/RNR_1,3914655/RNR_1,3914656/RNR_1,6093975/RNR_1,6225952/RNR_1,7388069/RNR_1,10957414/RNR_1,12644286/RNR_1,13882932/RNR_1,15290502/RNR_1,15604373/RNR_1,15674554/RNR_1,15677158/RNR_1,15791174/RNR_1,18266787/RNR_1,18311343/RNR_1,19074701/RNR_1,19703450/RNR_1,21223594/RNR_1,21910585/RNR_1,23100544/RNR_1,28198392/RNR_1,28493650/RNR_1,29654844/RNR_1,30019504/RNR_1,30316299/RNR_1,30793895/RNR_1,33236863/RNR_1,33598410/RNR_1,39938540/RNR_1,46100377/RNR_1,46255233/RNR_1,46446982/RNR_1,49256098/RNR_1,51891460/RNR_1,52000447/RNR_1,53728875/RNR_1,56707667/RNR_1,57014144/RNR_1,66810005/RNR_1,71895081/RNR_1,72163400/RNR_1,2648891/RNR_II_Dimer,57234895/RNR_II_Dimer,16082440/RNR_II_Dimer,51893898/RNR_II_Dimer,2621734/RNR_II_Dimer,15897814/RNR_II_Dimer,20090518/RNR_II_Dimer,42557734/RNR_II_Dimer,51246679/RNR_II_Dimer,15839968/RNR_II_Dimer,34102757/RNR_II_Dimer,20808702/RNR_II_Dimer,14590272/RNR_II_Dimer,42522732/RNR_II_Dimer,74055571/RNR_II_Dimer,81568276/RNR_II_Dimer,53803344/RNR_II_Dimer,15790595/RNR_II_Dimer,18313863/RNR_II_Dimer,21673413/RNR_II_Dimer,81737311/RNR_II_Dimer,21224150/RNR_II_Dimer,10175431/RNR_II_Dimer,32477697/RNR_II_Dimer,73748165/RNR_II_Dimer,47458851/RNR_II_Dimer,28210310/RNR_II_Dimer,17544914/RNR_II_Dimer,34397173/RNR_II_Dimer,53723300/RNR_II_Dimer,157165627/RNR_PFL_like_DUF712,18310479/RNR_PFL_like_DUF713,253581564/RNR_PFL_like_DUF714,150385022/RNR_PFL_like_DUF715,53728820/RNR_PFL_like_DUF716,254669585/RNR_PFL_like_DUF717,20090543/RNR_PFL_like_DUF718,23396954/RNR_PFL_like_DUF719,20094650/RNR_PFL_like_DUF720,154501151/RNR_PFL_like_DUF721,237732939/RNR_PFL_like_DUF722,15669861/RNR_PFL_like_DUF723,170290665/RNR_PFL_like_DUF724,18314171/RNR_PFL_like_DUF725,146303128/RNR_PFL_like_DUF726,15920428/RNR_PFL_like_DUF727,229536413/RNR_PFL_like_DUF728
0,913,1130,1150,1110,1150,1260,1110,1150,1130,1150,1120,1120,1120,1140,1120,1110,1130,1130,1170,1170,1120,1160,1090,1090,1080,1120,1140,1180,1160,1140,1130,1100,1150,1160,1180,1140,1160,1260,962,911,925,959,929,941,1050,1020,939,923,954,926,1070,995,1050,1070,1060,361,552,344,221,209,397,318,380,366,464,279,213,1160,1110,1170,1170,1180,1140,1170,1170,1180,1190,1190,1180,1170,1170,1210,1170,1180,1150,1170,1210,1120,1140,1170,1190,1180,1160,1140,1170,1170,1160,1150,1120,1200,1180,1170,1180,1200,1230,1160,1160,1200,1200,1170,1150,1180,1210,1210,1190,1150,1170,1190,1150,1150,1180,1190,1150,1170,1160,1180,1150,1130,1140,1150,1160,1170,1140,1160,1130,1160,1170,1140,1170,1130,1160,1130,1150,1170,1130,1140,1180,1140,1260,1260,1260,1240,1230,1230,1240,1250,1260,1280,1240,1250,1240,1280,1240,1240,1270
913,0,1140,1210,1160,1210,1250,1090,1160,1160,1100,1160,1150,1110,1150,1110,1090,1150,1160,1130,1150,1190,1160,1140,1160,1130,1170,1160,1180,1170,1160,1170,1140,1170,1220,1230,1200,1210,1230,708,651,535,638,625,217,833,810,272,712,673,658,909,884,889,976,975,892,971,912,919,905,938,927,894,965,969,912,928,1200,1160,1210,1220,1220,1180,1210,1190,1200,1210,1250,1210,1250,1210,1240,1200,1220,1200,1240,1190,1180,1170,1220,1210,1220,1190,1160,1210,1200,1220,1200,1210,1230,1190,1200,1210,1210,1230,1200,1200,1200,1220,1220,1210,1200,1200,1230,1190,1210,1210,1200,1200,1150,1200,1190,1160,1190,1240,1190,1180,1190,1210,1210,1190,1220,1220,1230,1240,1180,1230,1190,1200,1180,1190,1190,1170,1200,1210,1230,1220,1210,1250,1260,1250,1230,1230,1230,1230,1230,1240,1250,1250,1250,1250,1290,1260,1270,1300
1130,1140,0,1180,1150,1120,1250,907,949,768,943,389,441,957,760,917,921,304,880,837,948,500,626,724,841,555,926,908,1050,1020,729,1090,1050,1020,1210,1220,1200,1210,1190,1140,1130,1110,1150,1140,1170,1160,1160,1160,1130,1110,1120,1180,1090,1140,1180,1170,1120,1090,1120,1130,1130,1110,1110,1130,1140,1120,1120,1130,1080,1150,1140,1130,1140,1090,1130,1070,1140,1140,1180,1160,1150,1140,1160,1130,1150,1100,1150,1170,1110,1160,1140,1130,1170,1130,1140,1140,1120,1140,1130,1100,1170,1090,1150,1130,1160,1170,1090,1120,1160,1130,1140,1110,1110,1180,1150,1080,1140,1140,1170,1090,1090,1090,1100,1080,1100,1100,1110,1110,1090,1120,1070,1140,1130,1090,1160,1110,1090,1120,1140,1160,1090,1110,1130,1090,1100,1150,1130,1110,1120,1270,1230,1250,1260,1240,1240,1260,1230,1220,1240,1250,1260,1250,1280,1240,1270,1230
1150,1210,1180,0,1060,968,1190,1160,1140,1150,1190,1140,1200,1150,1190,1150,1160,1170,1190,1200,1140,1190,1180,1130,1140,1130,1140,1180,1220,1210,1180,1240,1220,1220,724,953,751,692,996,1150,1180,1170,1200,1190,1220,1210,1210,1190,1160,1160,1160,1190,1160,1160,1210,1220,1170,1150,1170,1140,1160,1170,1160,1140,1150,1140,1150,1170,1050,1060,1040,1030,1040,1050,1000,1050,1050,1040,1030,1040,1040,1040,1040,1010,1030,1040,1050,1050,1060,1070,1030,1040,1050,1040,1000,1050,1040,1080,1070,1020,1030,1080,1030,1050,1010,1040,1050,1050,1100,1060,1040,1060,1050,1110,1100,1070,1050,1030,1020,906,936,967,950,939,974,946,953,973,928,938,882,965,1050,922,1040,978,945,999,1040,1030,1040,949,1090,963,943,1050,985,985,998,1200,1210,1190,1180,1200,1200,1190,1160,1200,1190,1190,1180,1190,1190,1180,1180,1240
1110,1160,1150,1060,0,947,1200,1150,1140,1130,1140,1100,1110,1180,1140,1150,1170,1130,1130,1160,1070,1140,1150,1090,1120,1130,1130,1120,1170,1180,1180,1190,1170,1210,1090,1110,1060,1100,1150,1120,1150,1130,1150,1140,1150,1180,1200,1180,1120,1130,1080,1200,1130,1180,1180,1200,1110,1100,1110,1090,1100,1100,1110,1090,1110,1110,1090,1090,896,5.54,904,943,905,899,916,913,923,889,850,918,878,803,919,939,896,883,859,882,891,145,901,912,850,915,772,881,951,856,863,849,936,891,897,908,893,927,885,907,907,920,915,816,912,883,880,909,928,909,926,899,937,944,908,936,941,909,919,955,912,941,918,980,996,935,1020,928,963,964,993,1010,957,934,1030,954,931,992,972,962,1050,1200,1190,1200,1170,1180,1170,1180,1190,1180,1170,1220,1180,1180,1200,1160,1170,1180
1150,1210,1120,968,947,0,1250,1140,1090,1090,1150,1150,1150,1120,1140,1100,1140,1130,1120,1170,1130,1120,1140,1110,1150,1090,1100,1150,1160,1190,1170,1180,1190,1160,1020,1060,944,1030,1090,1120,1200,1180,1210,1210,1200,1170,1170,1210,1200,1160,1170,1230,1160,1170,1210,1200,1150,1100,1170,1120,1130,1150,1130,1160,1150,1110,1120,1170,881,947,888,910,858,861,894,859,880,903,871,905,865,845,810,881,883,881,862,898,871,975,753,898,870,911,838,837,928,876,857,765,780,880,869,880,753,771,918,910,908,898,899,830,894,897,870,873,908,885,760,491,508,504,539,473,525,581,589,551,580,611,575,549,766,603,797,626,681,618,739,789,743,718,791,660,720,799,755,699,839,1240,1230,1200,1220,1210,1210,1200,1220,1240,1210,1220,1230,1220,1230,1160,1190,1220
1260,1250,1250,1190,1200,1250,0,1230,1230,1260,1240,1250,1260,1220,1250,1230,1230,1250,1250,1270,1210,1260,1250,1270,1260,1240,1230,1250,1250,1240,1260,1240,1220,1250,1220,1270,1220,1230,1220,1200,1270,1260,1260,1260,1250,1260,1250,1260,1260,1270,1250,1290,1270,1300,1310,1320,1270,1260,1250,1270,1270,1260,1250,1240,1280,1250,1250,1270,1200,1200,1220,1240,1230,1210,1230,1210,1240,1220,1210,1240,1190,1200,1170,1200,1210,1220,1210,1230,1220,1200,1220,1240,1200,1230,1200,1200,1220,1180,1190,1190,1240,1230,1240,1240,1210,1250,1180,1240,1190,1230,1230,1210,1220,1220,1230,1240,1220,1230,1240,1220,1220,1200,1200,1200,1220,1200,1190,1230,1190,1180,1190,1220,1180,1210,1190,1200,1190,1230,1200,1220,1200,1210,1230,1210,1200,1200,1200,1220,1240,181,302,331,350,339,344,341,347,458,318,341,359,555,633,636,653,729
1110,1090,907,1160,1150,1140,1230,0,422,902,420,911,878,377,892,382,341,913,731,924,519,903,925,900,693,915,776,851,697,730,969,963,993,952,1260,1240,1180,1260,1230,1120,1090,1100,1140,1090,1100,1130,1160,1120,1070,1070,1070,1160,1160,1170,1230,1240,1080,1140,1110,1110,1110,1120,1110,1100,1150,1120,1060,1120,1130,1150,1160,1140,1170,1130,1150,1090,1150,1150,1150,1170,1160,1120,1140,1160,1150,1150,1130,1170,1120,1160,1150,1140,1150,1130,1120,1170,1100,1130,1110,1170,1160,1090,1160,1170,1150,1180,1140,1150,1120,1150,1160,1110,1140,1180,1130,1100,1140,1160,1130,1170,1100,1140,1180,1140,1180,1160,1170,1130,1140,1140,1180,1170,1210,1170,1220,1180,1150,1170,1200,1210,1170,1160,1220,1140,1180,1200,1150,1150,1190,1230,1220,1220,1230,1210,1200,1230,1230,1230,1230,1240,1210,1250,1280,1250,1240,1300
1150,1160,949,1140,1140,1090,1230,422,0,934,449,956,932,209,864,257,432,950,846,961,556,932,945,961,755,904,826,880,743,792,978,989,992,963,1250,1260,1170,1250,1240,1140,1110,1130,1130,1130,1150,1150,1180,1150,1150,1130,1100,1200,1170,1200,1200,1220,1140,1150,1130,1130,1150,1150,1160,1140,1180,1130,1110,1160,1140,1140,1150,1140,1140,1140,1170,1110,1150,1150,1100,1160,1120,1110,1120,1160,1160,1160,1100,1160,1140,1150,1130,1150,1120,1150,1090,1150,1120,1130,1100,1110,1160,1090,1160,1170,1140,1170,1140,1170,1100,1160,1160,1100,1160,1170,1140,1100,1180,1150,1140,1150,1120,1110,1150,1110,1140,1150,1160,1160,1100,1140,1160,1160,1200,1120,1230,1160,1150,1130,1180,1220,1170,1160,1210,1130,1150,1200,1140,1160,1150,1220,1240,1210,1220,1220,1210,1230,1240,1240,1220,1230,1210,1250,1280,1240,1240,1300
1130,1160,768,1150,1130,1090,1260,902,934,0,937,801,855,943,459,926,919,817,879,502,933,836,784,627,841,798,957,871,1020,1030,872,1060,1070,1030,1190,1200,1180,1230,1190,1120,1170,1120,1140,1170,1200,1150,1140,1190,1120,1120,1090,1220,1150,1180,1190,1210,1120,1080,1130,1140,1130,1110,1120,1150,1130,1090,1120,1140,1170,1130,1150,1140,1150,1160,1140,1160,1130,1150,1150,1160,1170,1150,1170,1160,1130,1170,1180,1170,1170,1150,1170,1110,1160,1150,1110,1190,1180,1180,1160,1160,1190,1150,1130,1130,1160,1170,1160,1150,1150,1160,1160,1140,1160,1160,1170,1130,1150,1150,1180,1060,1080,1070,1110,1100,1070,1140,1150,1110,1090,1090,1080,1100,1190,1100,1150,1100,1130,1130,1120,1160,1130,1130,1230,1030,1110,1140,1090,1150,1150,1250,1230,1240,1240,1250,1250,1230,1230,1230,1230,1240,1250,1240,1270,1230,1250,1240
